1,Bitcoin,BTC,None,35287.78,18747987 BTC,24924307911.11,-0.16,1.79,1.84
2,Ethereum,ETH,None,2321.72,116560649 ETH,18787107473.09,-0.32,4.29,17.32
3,Tether,USDT,None,0.9995,62373875280 USDT *,43066655707.51,0.00,-0.05,-0.11
4,Binance Coin,BNB,None,307.73,153432897 BNB *,1387395766.17,0.12,3.18,5.91
5,Cardano,ADA,None,1.46,31946328269 ADA,1806362471.43,0.44,3.65,9.21
6,Dogecoin,DOGE,None,0.2465,130303772350 DOGE,973511518.61,0.07,0.03,-6.79
7,XRP,XRP,None,0.6949,46146927647 XRP *,1885241526.85,0.06,3.28,7.42
8,USD Coin,USDC,None,0.9995,25524471079 USDC *,1578667344.18,0.00,-0.05,-0.11
9,Polkadot,DOT,None,16.01,957627383 DOT *,752075892.77,-0.49,2.96,6.65
10,Uniswap,UNI,None,20.77,587265785 UNI *,540490915.07,-0.59,6.39,21.50
11,Binance USD,BUSD,None,0.9994,10682980595 BUSD *,3065474877.43,0.01,-0.04,-0.11
12,Bitcoin Cash,BCH,None,526.43,18780713 BCH,1413797953.10,-0.31,4.18,10.39
13,Litecoin,LTC,None,144.91,66752415 LTC,1431656518.88,0.00,3.30,9.49
14,Solana,SOL,None,34.31,272637428 SOL *,303420519.91,-0.09,-0.49,7.46
15,Chainlink,LINK,None,19.26,437009554 LINK *,680268075.07,-0.62,3.91,5.01
16,Polygon,MATIC,None,1.15,6303422325 MATIC *,510476355.95,-0.75,2.61,3.22
17,Wrapped Bitcoin,WBTC,None,35289.76,195876 WBTC *,158305968.63,-0.22,1.77,2.02
18,Ethereum Classic,ETC,None,56.25,116313299 ETC,2864592304.55,-1.38,-1.03,32.87
19,THETA,THETA,None,6.35,1000000000 THETA *,152483848.66,-0.07,1.25,-7.87
20,Internet Computer,ICP,None,46.85,136899214 ICP *,236253859.73,0.29,-4.01,9.22
21,Stellar,XLM,None,0.2681,23227018573 XLM *,337619568.80,0.44,1.44,3.67
22,VeChain,VET,None,0.0878,64315576989 VET *,515840506.65,0.05,0.48,12.81
23,Dai,DAI,None,1.00,5438670663 DAI *,224706857.24,0.01,-0.04,-0.19
24,Filecoin,FIL,None,58.77,85134865 FIL,322262854.47,-0.77,-0.15,4.71
25,TRON,TRX,None,0.0673,71659657369 TRX *,844766257.13,-0.19,0.73,3.89
26,Monero,XMR,None,219.84,17945810 XMR,169785753.52,0.01,2.37,4.09
27,EOS,EOS,None,4.06,954901623 EOS *,808602549.31,-1.06,0.33,7.79
28,Aave,AAVE,None,277.04,12832333 AAVE *,427571943.31,-0.38,6.69,36.69
29,SHIBA INU,SHIB,None,0.000008715,394796000000000 SHIB *,382389430.81,0.10,0.75,10.95
30,Crypto.com Coin,CRO,None,0.1224,25263013692 CRO *,41744858.66,-0.15,3.40,15.21
31,Bitcoin SV,BSV,None,149.32,18778252 BSV,566485090.11,-0.43,1.98,14.04
32,Maker,MKR,None,2798.52,991340 MKR *,129735245.61,-1.43,6.20,31.38
33,Algorand,ALGO,None,0.8798,3110466568 ALGO *,64314667.77,-0.50,0.37,5.38
34,PancakeSwap,CAKE,None,14.16,191062359 CAKE *,299088227.89,-0.49,4.37,8.83
35,Cosmos,ATOM,None,12.26,217618497 ATOM *,144917698.70,0.82,3.77,22.03
36,Neo,NEO,None,37.45,70538831 NEO *,385269785.57,-0.15,3.04,17.22
37,FTX Token,FTT,None,27.45,94346958 FTT *,76843229.46,-0.46,-1.96,11.82
38,Tezos,XTZ,None,3.04,851344378 XTZ *,64270956.58,-0.10,0.91,16.00
39,Bitcoin BEP2,BTCB,None,35403.22,73094 BTCB *,35571902.60,0.10,2.20,2.28
40,Klaytn,KLAY,None,1.03,2482725428 KLAY *,106166361.09,-0.19,1.49,2.89
41,Terra,LUNA,None,5.97,418415089 LUNA *,104616231.87,-0.66,2.83,10.60
42,Amp,AMP,None,0.05569,42227702186 AMP *,16793372.60,-1.56,-3.53,-9.91
43,Compound,COMP,None,444.56,5332140 COMP *,442261432.63,0.17,17.09,72.87
44,IOTA,MIOTA,None,0.8441,2779530283 MIOTA *,37850311.04,-0.88,1.81,5.98
45,UNUS SED LEO,LEO,None,2.41,953954130 LEO *,2982206.22,-0.06,2.43,15.65
46,Avalanche,AVAX,None,12.35,172418164 AVAX *,60403499.13,-0.35,7.36,13.11
47,The Graph,GRT,None,0.72,2897903422 GRT *,221150652.35,0.25,6.43,29.13
48,Theta Fuel,TFUEL,None,0.3757,5301214400 TFUEL *,66462741.08,0.24,-0.56,-12.70
49,TerraUSD,UST,None,0.9997,1925484659 UST *,17044091.33,0.05,0.00,-0.14
50,Huobi Token,HT,None,10.73,170704593 HT *,105489640.65,-0.78,2.48,5.37
51,BitTorrent,BTT,None,0.002734,659952625000 BTT *,135912737.20,-0.39,1.35,9.62
52,Decred,DCR,None,138.55,13086761 DCR,76294972.51,-1.07,-6.27,12.40
53,Waves,WAVES,None,16.89,105545272 WAVES *,149684100.53,0.21,4.42,21.65
54,Kusama,KSM,None,210.12,8470098 KSM *,150292468.05,-0.39,1.81,18.10
55,Hedera Hashgraph,HBAR,None,0.1942,8950270271 HBAR *,132516533.08,0.37,0.47,6.55
56,Celsius,CEL,None,6.92,238863520 CEL *,8933675.10,-0.08,1.90,31.96
57,Elrond,EGLD,None,93.59,17730331 EGLD *,51097345.46,0.04,1.29,42.30
58,TrueUSD,TUSD,None,0.9993,1516400277 TUSD *,60672950.36,-0.01,-0.07,-0.14
59,THORChain,RUNE,None,6.25,234117800 RUNE *,67170758.98,-0.91,4.33,2.85
60,Zcash,ZEC,None,120.16,12135325 ZEC,303827434.53,0.01,3.35,12.15
