1,Bitcoin,BTC,None,48278.36,18819700 BTC,28575630451.13,0.61,2.14,6.81
2,Ethereum,ETH,None,3432.02,117579676 ETH,15995220233.35,0.57,0.99,4.95
3,Cardano,ADA,None,2.37,32025787327 ADA,2118771218.14,0.37,1.00,-10.02
4,Binance Coin,BNB,None,410.81,168137036 BNB *,1310349980.76,0.38,1.03,1.30
5,Tether,USDT,None,0.9995,68284106148 USDT *,60077519832.06,-0.02,-0.02,-0.15
6,Solana,SOL,None,169.18,296830781 SOL *,5415012910.47,3.00,14.63,-5.41
7,XRP,XRP,None,1.08,46622239005 XRP *,2308814475.73,0.33,0.94,-0.39
8,Polkadot,DOT,None,34.90,987579315 DOT *,1805117461.35,-0.18,5.69,10.46
9,Dogecoin,DOGE,None,0.2414,131338055514 DOGE,999151515.14,0.20,0.61,-0.02
10,USD Coin,USDC,None,0.9994,29379356150 USDC *,2210179952.85,-0.01,-0.04,-0.16
11,Avalanche,AVAX,None,69.01,220286577 AVAX *,1951788341.14,1.52,-1.32,20.73
12,Uniswap,UNI,None,24.54,611643724 UNI *,295373763.39,1.18,1.04,7.88
13,Terra,LUNA,None,34.78,401712968 LUNA *,729598618.35,0.22,1.03,-11.03
14,Chainlink,LINK,None,28.39,453509554 LINK *,1042938776.43,0.85,2.51,4.99
15,Binance USD,BUSD,None,0.9993,12813558456 BUSD *,5075515724.95,-0.02,-0.03,-0.17
16,Litecoin,LTC,None,181.31,66752615 LTC,2288894199.92,0.34,0.90,1.47
17,Bitcoin Cash,BCH,None,630.22,18849438 BCH,5596309162.75,0.76,1.56,-0.89
18,Algorand,ALGO,None,2.07,5385980933 ALGO *,811391353.69,-1.04,7.90,4.45
19,Wrapped Bitcoin,WBTC,None,48246.54,206421 WBTC *,240472382.80,0.63,2.16,6.78
20,Internet Computer,ICP,None,58.58,162890217 ICP *,306919229.01,0.72,3.75,0.87
21,Polygon,MATIC,None,1.37,6652300637 MATIC *,816580423.92,0.57,-3.95,3.86
22,Filecoin,FIL,None,84.36,107686860 FIL,780146354.62,0.79,-1.57,3.20
23,Cosmos,ATOM,None,40.85,221584554 ATOM *,2474432401.75,1.12,22.27,49.73
24,FTX Token,FTT,None,63.76,120775461 FTT *,583894130.34,1.02,3.38,-12.11
25,Stellar,XLM,None,0.3225,23730654283 XLM *,427858425.51,0.41,0.92,-0.85
26,TRON,TRX,None,0.1059,71659657369 TRX *,1423069244.01,0.55,0.73,11.04
27,Ethereum Classic,ETC,None,57.29,129884717 ETC,705744420.79,0.73,1.10,0.26
28,VeChain,VET,None,0.113,64315576989 VET *,296259202.57,0.82,1.34,-2.23
29,Dai,DAI,None,0.9993,6600149456 DAI *,298712687.80,0.00,-0.03,-0.11
30,THETA,THETA,None,6.37,1000000000 THETA *,167087942.92,0.46,0.94,-1.30
31,Tezos,XTZ,None,6.41,860053614 XTZ *,696096191.36,0.07,4.87,4.47
32,EOS,EOS,None,5.47,958418932 EOS *,1849955473.91,1.46,4.35,16.96
33,PancakeSwap,CAKE,None,22.39,222779224 CAKE *,331301493.44,0.42,5.03,13.99
34,Monero,XMR,None,271.69,17995430 XMR,163931480.10,0.82,3.51,8.78
35,Elrond,EGLD,None,248.57,19463512 EGLD *,156921206.16,1.33,2.79,8.42
36,Crypto.com Coin,CRO,None,0.1885,25263013692 CRO *,41119976.88,0.31,0.15,5.29
37,Aave,AAVE,None,355.12,13181524 AAVE *,289705273.73,0.57,0.16,8.03
38,IOTA,MIOTA,None,1.67,2779530283 MIOTA *,147398832.07,1.02,-4.40,10.84
39,Quant,QNT,None,362.31,12072738 QNT *,82497115.94,-0.05,4.76,-5.87
40,eCash,XEC,None,0.0002318,18846510923313 XEC *,83334025.34,0.43,1.28,5.23
